REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2012,10,1,21,102,06,1,036,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,10,1,21,102,10,1,040,03,08000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,104,02,1,052,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,106,07,1,077,03,15000,3,1,973,1,45,06,   , ,  ,  
11,2012,10,2,21,106,08,1,078,03,20000,1,1,719,2,45,06,   , ,  ,  
11,2012,10,2,21,106,08,1,078,04,20000,1,1,719,1,45,04,   , ,  ,  
11,2012,10,2,21,106,10,1,080,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,109,06,1,106,04,15000,3,1,842,1,45,06,   , ,  ,  
11,2012,10,2,21,110,01,1,111,02,25000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,110,06,1,116,04,80000,3,1,931,1,40,06,   , ,  ,  
11,2012,10,2,21,111,03,1,123,05,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,114,03,1,153,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,21,114,08,1,158,03,18000,3,1,931,1,05,06,719,1,05,06
11,2012,10,3,21,115,01,1,161,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,3,21,115,01,1,161,05,20000,1,1,719,1,46,06,   , ,  ,  
11,2012,11,2,21,119,02,1,122,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,21,119,06,1,126,03,15000,2,1,217,1,04,03,   , ,  ,  
11,2012,11,3,21,120,02,1,022,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,3,21,120,04,1,024,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,3,21,120,05,1,025,01,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,3,21,120,10,1,030,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,21,121,01,1,031,02,15000,3,1,973,1,02,06,   , ,  ,  
11,2012,11,2,21,121,05,1,035,04,07000,1,2,   , ,  ,  ,   , ,  ,  
