REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4_SEX,P5_AGE,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH
 2,2010,01,2,11,006,01,1,051,02,2,2,46,1,1,2,11,5,1,2,2
 2,2010,01,2,11,006,01,1,051,03,3,2,22,1,1,1,13,4,1,1,1
 2,2010,01,2,11,006,01,1,051,04,3,2,18,1,1,1,12,1,1,1,1
 2,2010,01,2,11,006,01,1,051,05,3,1,16,1,1,1,11,1,1,2,1
 2,2010,01,2,11,006,02,1,052,01,1,1,41,1,1,2,13,5,1,2,1
 2,2010,01,2,11,006,02,1,052,02,2,2,39,1,1,2,13,5,1,2,1
 2,2010,01,2,11,006,02,1,052,03,3,1,14,1,1,1,08,1,1,1,1
 2,2010,01,2,11,006,02,1,052,04,3,1,10,1,1,1,04,1,1,1,1
 2,2010,01,2,11,006,03,1,053,01,1,1,62,1,4,1,11,5,1,2,1
 2,2010,01,2,11,006,03,1,053,02,2,2,61,1,4,1,11,5,1,2,1
 2,2010,01,2,11,006,04,1,054,01,1,2,46,1,1,1,16,5,1,2,1
 2,2010,01,2,11,006,04,1,054,02,5,1,23,1,1,1,13,4,1,2,1
 2,2010,01,2,11,006,04,1,054,03,5,1,17,1,1,1,11,4,1,2,1
 2,2010,01,2,11,006,04,1,054,04,5,2,21,1,1,1,13,4,1,2,1
 2,2010,01,2,11,006,06,1,056,01,1,2,48,1,1,2,11,5,1,2,2
 2,2010,01,2,11,006,06,1,056,02,3,1,23,1,1,1,11,5,1,2,2
 2,2010,01,2,11,006,06,1,056,03,5,2,86,1,1,3,08,5,1,2,2
 2,2010,01,2,11,006,07,1,057,01,1,1,48,1,1,2,13,5,1,2,2
 2,2010,01,2,11,006,07,1,057,02,2,2,46,1,1,2,06,5,1,2,2
 2,2010,01,2,11,006,07,1,057,03,3,2,17,1,1,1,12,1,1,2,2
 2,2010,01,2,11,006,07,1,057,04,3,2,12,1,1,1,07,1,1,2,2
 2,2010,01,2,11,006,07,1,057,05,3,1,07,1,1,1,02,1, , , 
 2,2010,01,2,11,006,07,1,057,06,5,2,65,1,1,3,02,5,1,2,2
 2,2010,01,2,11,006,08,1,058,01,1,2,35,1,1,3,10,5,1,2,2
 2,2010,01,2,11,006,08,1,058,02,3,2,14,1,1,1,09,1,1,2,2
 2,2010,01,2,11,006,08,1,058,03,3,1,13,1,1,1,07,1,1,2,2
 2,2010,01,2,11,006,08,1,058,04,4,1,63,1,1,2,08,5,1,2,2
 2,2010,01,2,11,006,09,1,059,01,1,1,75,1,1,2,08,5,1,2,2
 2,2010,01,2,11,006,09,1,059,02,2,2,70,1,1,2,11,5,1,2,2
 2,2010,01,2,11,006,10,1,060,01,1,1,26,1,1,1,15,4,1,2,1
 2,2010,01,2,11,006,10,1,060,02,7,1,26,1,1,1,15,5,1,2,1
 2,2010,01,2,11,007,01,1,061,01,1,1,53,1,1,2,13,5,1,2,2
 2,2010,01,2,11,007,01,1,061,02,2,2,50,1,1,2,13,5,1,2,2
 2,2010,01,2,11,007,01,1,061,03,3,1,16,1,1,1,10,1,1,2,2
 2,2010,01,2,11,007,01,1,061,04,3,1,10,1,1,1,05,1,1,2,2
 2,2010,01,2,11,007,02,1,062,01,1,1,36,1,1,2,11,5,1,2,2
 2,2010,01,2,11,007,02,1,062,02,2,2,35,1,1,2,13,5,1,2,2
 2,2010,01,2,11,007,02,1,062,03,3,2,13,1,1,1,08,1,1,2,2
 2,2010,01,2,11,007,02,1,062,04,3,1,07,1,1,1,01,1, , , 
 2,2010,01,2,11,007,04,1,064,01,1,1,63,1,1,2,15,5,1,1,1
 2,2010,01,2,11,007,04,1,064,02,2,2,62,1,1,2,15,5,1,2,1
 2,2010,01,2,11,007,04,1,064,03,3,2,29,1,1,2,15,5,1,2,1
 2,2010,01,2,11,007,04,1,064,04,5,1,29,1,1,2,15,5,1,2,1
 2,2010,01,2,11,007,04,1,064,05,5,1,01,1,1,1,  , , , , 
 2,2010,01,2,11,007,05,1,065,01,1,1,70,1,1,2,11,5,1,2,1
 2,2010,01,2,11,007,05,1,065,02,2,2,65,1,1,2,11,5,1,2,1
 2,2010,01,2,11,007,05,1,065,03,3,1,40,1,1,1,11,5,1,2,1
 2,2010,01,2,11,007,05,1,065,04,3,2,38,1,1,1,11,5,1,2,1
 2,2010,01,2,11,007,06,1,066,01,1,1,73,1,1,3,12,5,1,2,1
 2,2010,01,2,11,007,06,1,066,02,5,1,54,1,1,2,11,5,1,2,2
 2,2010,01,2,11,007,07,1,067,01,1,1,63,1,1,2,11,5,1,2,2
 2,2010,01,2,11,007,07,1,067,02,2,2,58,1,1,2,11,5,1,2,2
 2,2010,01,2,11,007,07,1,067,03,3,2,35,1,1,2,13,5,1,2,2
 2,2010,01,2,11,007,07,1,067,04,5,1,40,1,1,2,13,5,1,2,1
 2,2010,01,2,11,007,07,1,067,05,5,2,07,1,1,1,01,1, , , 
 2,2010,01,2,11,007,07,1,067,06,5,2,04,1,1,1,  , , , , 
 2,2010,01,2,11,007,08,1,068,01,1,1,76,1,1,2,15,5,1,2,1
 2,2010,01,2,11,007,08,1,068,02,2,2,70,1,1,2,15,5,1,2,1
 2,2010,01,2,11,007,08,1,068,03,3,2,31,1,1,2,13,5,1,2,1
 2,2010,01,2,11,007,08,1,068,04,5,1,32,1,1,2,13,5,1,2,1
