REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,TEMP,RCODE1,RCODE2,RCODE3,TIME1,TIME2,TIME3,G4,G5,FCODE
 1,2014,03,2,62,42,016,07,1,047,  ,6,6,6,  ,  ,  ,00,00,2
 1,2014,03,2,62,42,016,08,1,048,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,42,016,09,1,049,  ,6,1, ,  ,25,  ,00,00,1
 1,2014,03,2,62,42,016,10,1,050,  ,6,1, ,  ,30,  ,00,00,1
 1,2014,03,2,62,48,017,01,1,051,  , , , ,  ,  ,  ,00,00,2
 1,2014,03,2,62,48,017,02,1,052,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,48,017,03,1,053,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,48,017,04,1,054,  ,6,1, ,  ,20,  ,00,00,1
 1,2014,03,2,62,48,017,05,1,055,  ,6,1, ,  ,45,  ,00,00,1
 1,2014,03,2,62,48,017,06,1,056,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,62,48,017,07,1,057,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,62,48,017,08,1,058,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,62,48,017,09,1,059,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,62,48,017,10,1,060,  ,6,1, ,  ,40,  ,00,00,1
 1,2014,03,2,72,03,009,01,1,001,  ,6,6,6,  ,  ,  ,00,00,2
 1,2014,03,2,72,03,009,01,2,002,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,03,009,02,1,003,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,03,009,03,1,004,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,03,009,04,1,005,  ,6,6,6,  ,  ,  ,00,00,2
 1,2014,03,2,72,03,009,05,1,006,  ,6,6,6,  ,  ,  ,00,00,2
 1,2014,03,2,72,03,009,07,1,008,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,72,03,009,08,1,009,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,03,009,06,1,007,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,03,009,09,1,010,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,03,009,10,1,011,  ,6,1, ,  ,40,  ,00,00,1
 1,2014,03,2,72,06,010,01,1,012,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,02,1,013,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,06,010,03,1,014,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,04,1,015,  ,6,6, ,  ,  ,  ,00,00,2
 1,2014,03,2,72,06,010,05,1,016,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,06,2,017,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,08,1,019,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,09,1,020,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,06,010,10,1,021,  ,6,6, ,  ,  ,  ,00,00,2
 1,2014,03,2,72,06,010,07,1,018,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,12,011,01,1,042,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,02,1,043,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,05,1,046,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,07,1,048,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,09,1,050,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,12,011,10,1,051,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,06,1,047,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,12,011,08,1,049,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,12,011,03,1,044,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,12,011,04,1,045,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,15,012,01,1,032,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,15,012,02,1,033,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,15,012,03,1,034,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,15,012,04,1,035,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,72,15,012,05,1,036,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,72,15,012,06,1,037,  ,1, , ,45,  ,  ,00,00,1
 1,2014,03,2,72,15,012,07,1,038,  ,1, , ,55,  ,  ,00,00,1
 1,2014,03,2,72,15,012,08,1,039,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,72,15,012,09,1,040,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,72,15,012,10,1,041,  ,1, , ,50,  ,  ,00,00,1
 1,2014,03,2,72,18,013,01,1,022,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,18,013,02,1,023,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,18,013,03,1,024,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,72,18,013,04,1,025,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,72,18,013,05,1,026,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,72,18,013,06,1,027,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,72,18,013,07,1,028,  ,1, , ,25,  ,  ,00,00,1
 1,2014,03,2,72,18,013,08,1,029,  ,6, , ,  ,  ,  ,00,00,2
 1,2014,03,2,72,18,013,09,1,030,  ,1, , ,40,  ,  ,00,00,1
 1,2014,03,2,72,18,013,10,1,031,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,44,09,007,01,1,001,  ,1, , ,23,  ,  ,00,00,1
 1,2014,03,2,44,09,007,02,1,002,  ,1, , ,53,  ,  ,00,00,1
 1,2014,03,2,44,09,007,03,1,003,  ,1, , ,37,  ,  ,00,00,1
 1,2014,03,2,44,09,007,04,1,004,  ,1, , ,34,  ,  ,00,00,1
 1,2014,03,2,44,09,007,05,1,005,  ,1, , ,32,  ,  ,00,00,1
 1,2014,03,2,44,09,007,06,1,006,  ,4,4,4,05,04,04,  ,  ,2
 1,2014,03,2,44,09,007,07,1,007,  ,1, , ,30,  ,  ,00,00,1
 1,2014,03,2,44,09,007,08,1,008,  ,1, , ,38,  ,  ,00,00,1
 1,2014,03,2,44,09,007,09,1,009,  ,1, , ,32,  ,  ,00,00,1
 1,2014,03,2,44,09,007,10,1,010,  ,1, , ,37,  ,  ,00,00,1
 1,2014,03,2,44,12,008,01,1,011,  ,1, , ,35,  ,  ,00,00,1
 1,2014,03,2,44,12,008,02,1,012,  ,1, , ,15,  ,  ,00,00,1
 1,2014,03,2,44,12,008,03,1,013,  ,1, , ,20,  ,  ,00,00,1
 1,2014,03,2,44,12,008,04,1,014,  ,1, , ,10,  ,  ,00,00,1
