REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,1,12,002,07,1,017,01,2,2,7,60,00
05,2006,01,1,12,002,07,1,017,03,1,1,4,54,54
05,2006,01,1,12,002,08,1,018,01,2,2,7,60,60
05,2006,01,1,12,002,09,1,019,01,1,1,6,48,60
05,2006,01,1,12,002,09,1,019,04,2,2,8,48,48
05,2006,01,1,12,002,10,1,020,01,2,2,7,54,36
05,2006,01,2,12,003,01,1,021,01, , , ,48,00
05,2006,01,2,12,003,01,1,021,03,1,1,6,60,60
05,2006,01,2,12,003,01,1,021,04, , , ,48,24
05,2006,01,2,12,003,02,1,022,05, , , ,60,45
05,2006,01,2,12,003,03,1,023,04, , , ,99,16
05,2006,01,2,12,003,04,1,024,02,1,1,6,48,48
05,2006,01,2,12,003,04,1,024,03,1,1,6,48,48
05,2006,01,2,12,003,05,1,025,02,1,3,6,48,48
05,2006,01,2,12,003,06,1,026,02,2,2,1,66,33
05,2006,01,2,12,003,07,1,027,01, , , ,48,40
05,2006,01,2,12,003,07,1,027,02,1,1,2,20,20
05,2006,01,2,12,003,07,1,027,03,2,2,2,99,99
05,2006,01,2,12,003,07,1,027,04,3,2,4,72,72
05,2006,01,2,12,003,08,1,028,03, , , ,48,48
05,2006,01,2,12,003,08,1,028,05, , , ,99,48
05,2006,01,2,12,003,08,1,028,06, , , ,48,48
05,2006,01,2,12,003,09,1,029,01, , , ,99,99
05,2006,01,2,12,003,09,1,029,06,1,3,2,64,64
05,2006,01,2,12,003,09,1,029,07, , , ,48,10
05,2006,01,2,12,003,10,1,030,01,1,1,5,48,48
05,2006,01,2,12,004,01,1,031,01, , , ,40,48
05,2006,01,2,12,004,01,1,031,02, , , ,40,40
05,2006,01,2,12,004,02,1,032,01, , , ,40,48
05,2006,01,2,12,004,02,1,032,02,2,2,8,40,40
05,2006,01,2,12,004,03,1,033,01,2,2,8,40,40
05,2006,01,2,12,004,03,1,033,03,1,1,1,48,48
