REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q33_PERSON_SERIAL_NO,Q33_EXPECT_A_JOB,Q34_STEPS_TAKEN_FIND_JOB,Q351_STEPS_TAKEN_1ST,Q352_STEPS_TAKEN_2ND,Q353_STEPS_TAKEN_3RD,Q36_REASON_NOT_TAKING_ACTION
09,2008,01,2,11,016,02,1,153,01,2, , , , , 
09,2008,01,2,11,016,02,1,153,04,2, , , , , 
09,2008,01,2,11,016,03,1,154,02,2, , , , , 
09,2008,01,2,11,016,03,1,154,03,2, , , , , 
09,2008,01,2,11,016,04,1,155,01,2, , , , , 
09,2008,01,2,11,016,04,1,155,02,2, , , , , 
09,2008,01,2,11,016,04,1,155,03,2, , , , , 
09,2008,01,2,11,016,05,1,156,02,2, , , , , 
09,2008,01,2,11,016,05,1,156,03,2, , , , , 
09,2008,01,2,11,016,05,1,156,05,2, , , , , 
09,2008,01,2,11,016,06,1,157,02,1,2, , , ,6
09,2008,01,2,11,016,06,1,157,03,2, , , , , 
09,2008,01,2,11,016,06,1,157,04,2, , , , , 
09,2008,01,2,11,016,07,1,158,01,2, , , , , 
09,2008,01,2,11,016,07,1,158,02,2, , , , , 
09,2008,01,2,11,016,08,1,159,02,2, , , , , 
09,2008,01,2,11,016,08,1,159,03,2, , , , , 
09,2008,01,2,11,016,09,1,160,02,2, , , , , 
09,2008,01,2,11,016,09,1,160,03,2, , , , , 
09,2008,01,2,11,016,09,1,160,04,2, , , , , 
09,2008,01,2,11,016,10,1,161,01,2, , , , , 
09,2008,01,2,11,016,10,1,161,02,2, , , , , 
09,2008,01,2,11,017,01,1,162,07,2, , , , , 
09,2008,01,2,11,017,02,1,163,01,2, , , , , 
09,2008,01,2,11,017,03,1,164,01,2, , , , , 
09,2008,01,2,11,017,04,1,165,01,2, , , , , 
09,2008,01,2,11,017,04,1,165,03,2, , , , , 
09,2008,01,2,11,017,06,1,167,01,2, , , , , 
09,2008,01,2,11,017,06,1,167,02,2, , , , , 
09,2008,01,2,11,017,06,1,167,04,2, , , , , 
09,2008,01,2,11,017,06,1,167,05,2, , , , , 
09,2008,01,2,11,017,07,1,168,03,2, , , , , 
09,2008,01,2,11,017,08,1,169,01,2, , , , , 
09,2008,01,2,11,017,08,1,169,02,2, , , , , 
09,2008,01,2,11,017,09,1,170,01,2, , , , , 
09,2008,01,2,11,017,09,1,170,02,2, , , , , 
09,2008,01,2,11,017,09,1,170,03,2, , , , , 
09,2008,01,2,11,017,09,1,170,04,2, , , , , 
09,2008,01,2,11,018,01,1,172,02,2, , , , , 
09,2008,01,2,11,018,02,1,173,02,1,2, , , ,6
09,2008,01,2,11,018,04,1,175,04,2, , , , , 
09,2008,01,2,11,018,05,1,176,03,2, , , , , 
09,2008,01,2,11,018,06,1,177,03,2, , , , , 
09,2008,01,2,11,018,06,1,177,04,2, , , , , 
09,2008,01,2,11,018,07,1,178,02,2, , , , , 
09,2008,01,2,11,018,08,1,179,02,2, , , , , 
09,2008,01,2,11,018,09,1,180,03,2, , , , , 
09,2008,01,2,11,018,10,1,181,02,2, , , , , 
09,2008,01,2,11,018,10,1,181,03,2, , , , , 
09,2008,01,1,12,001,04,1,004,01,2, , , , , 
09,2008,01,1,12,001,04,1,004,02,2, , , , , 
09,2008,01,1,12,001,04,1,004,04,1,2, , , ,9
09,2008,01,1,12,001,06,1,006,02,1,2, , , ,6
09,2008,01,1,12,001,07,1,007,02,1,1,4, , , 
09,2008,01,1,12,001,10,1,010,02,2, , , , , 
09,2008,01,1,12,001,10,1,010,03,2, , , , , 
09,2008,01,1,12,001,10,1,010,04,2, , , , , 
09,2008,01,1,12,002,01,1,011,02,2, , , , , 
09,2008,01,1,12,002,02,1,012,02,2, , , , , 
09,2008,01,1,12,002,02,1,012,03,2, , , , , 
09,2008,01,1,12,002,03,1,013,02,2, , , , , 
09,2008,01,1,12,002,03,1,013,04,2, , , , , 
09,2008,01,1,12,002,04,1,014,02,2, , , , , 
09,2008,01,1,12,002,04,1,014,03,2, , , , , 
09,2008,01,1,12,002,04,1,014,04,2, , , , , 
09,2008,01,1,12,002,04,1,014,06,2, , , , , 
09,2008,01,1,12,002,04,1,014,07,2, , , , , 
09,2008,01,1,12,002,05,1,015,03,2, , , , , 
09,2008,01,1,12,002,05,1,015,04,2, , , , , 
09,2008,01,1,12,002,06,1,016,02,2, , , , , 
09,2008,01,1,12,002,06,1,016,03,2, , , , , 
09,2008,01,1,12,002,06,1,016,04,2, , , , , 
09,2008,01,1,12,002,06,1,016,05,2, , , , , 
09,2008,01,1,12,002,08,1,018,02,2, , , , , 
09,2008,01,1,12,002,08,1,018,03,2, , , , , 
09,2008,01,1,12,002,08,1,018,04,2, , , , , 
09,2008,01,1,12,002,09,1,019,03,2, , , , , 
09,2008,01,1,12,002,09,1,019,04,2, , , , , 
09,2008,01,2,12,003,01,1,021,02,2, , , , , 
09,2008,01,2,12,003,02,1,022,02,2, , , , , 
09,2008,01,2,12,003,02,1,022,06,1,1,2, , , 
09,2008,01,2,12,003,04,1,024,03,2, , , , , 
09,2008,01,2,12,003,04,1,024,04,2, , , , , 
09,2008,01,2,12,003,07,1,027,01,2, , , , , 
09,2008,01,2,12,003,07,1,027,02,2, , , , , 
09,2008,01,2,12,003,07,1,027,04,2, , , , , 
09,2008,01,2,12,003,08,1,028,02,2, , , , , 
09,2008,01,2,12,004,01,1,031,01,2, , , , , 
09,2008,01,2,12,004,01,1,031,03,2, , , , , 
09,2008,01,2,12,004,02,1,032,02,2, , , , , 
09,2008,01,2,12,004,02,1,032,03,2, , , , , 
09,2008,01,2,12,004,04,1,034,02,2, , , , , 
09,2008,01,2,12,004,04,1,034,03,2, , , , , 
09,2008,01,2,12,004,05,1,035,03,2, , , , , 
09,2008,01,2,12,004,05,1,035,04,2, , , , , 
09,2008,01,2,12,004,06,1,036,02,2, , , , , 
09,2008,01,2,12,004,06,1,036,03,2, , , , , 
09,2008,01,2,12,004,06,1,036,04,2, , , , , 
09,2008,01,2,12,004,06,1,036,06,2, , , , , 
09,2008,01,2,12,004,07,1,037,03,2, , , , , 
09,2008,01,2,12,004,07,1,037,04,2, , , , , 
09,2008,01,2,12,004,07,1,037,05,2, , , , , 
09,2008,01,2,12,004,09,1,039,03,2, , , , , 
09,2008,01,2,12,004,09,1,039,04,2, , , , , 
09,2008,01,2,12,004,10,1,040,02,2, , , , , 
09,2008,01,2,12,005,03,1,043,01,2, , , , , 
09,2008,01,2,12,005,03,1,043,02,2, , , , , 
09,2008,01,2,12,005,04,1,044,01,2, , , , , 
09,2008,01,2,12,005,04,1,044,02,2, , , , , 
09,2008,01,2,12,005,04,1,044,04,2, , , , , 
09,2008,01,2,12,005,05,1,045,02,2, , , , , 
09,2008,01,2,12,005,06,1,046,01,2, , , , , 
09,2008,01,2,12,005,06,1,046,02,2, , , , , 
09,2008,01,2,12,005,07,1,047,01,2, , , , , 
09,2008,01,2,12,005,07,1,047,02,2, , , , , 
09,2008,01,2,12,005,08,1,048,01,2, , , , , 
